Date,Open,High,Low,Close,Volume
2017-07-24,1616.45,1616.93,1607.43,1609.81,2009350
2017-07-25,1612.18,1612.67,1589.41,1589.87,3483660
2017-07-26,1596.99,1597.95,1588.44,1588.44,1845047
2017-07-27,1588.93,1592.24,1580.85,1583.7,2390093
2017-07-28,1584.18,1587.98,1580.85,1582.28,1706336
2017-07-31,1580.85,1586.54,1569.93,1578.48,2742398
2017-08-01,1589.41,1606.0,1583.22,1603.17,1789962
2017-08-02,1609.35,1610.29,1595.58,1597.46,1505801
2017-08-03,1602.21,1608.86,1598.88,1603.64,1529710
2017-08-04,1599.85,1604.58,1587.98,1602.7,1540242
2017-08-07,1604.58,1606.49,1599.85,1601.27,1310638
2017-08-08,1604.58,1606.0,1596.99,1605.07,1353927
2017-08-09,1605.07,1609.35,1595.1,1602.21,1995027
2017-08-10,1609.81,1613.14,1604.58,1611.7,1911082
2017-08-14,1607.92,1608.86,1590.36,1590.36,2385985
2017-08-15,1597.95,1609.35,1594.62,1606.49,1642826
2017-08-16,1604.58,1607.92,1598.41,1598.41,1464197
2017-08-17,1597.95,1598.88,1589.41,1590.36,1598274
2017-08-18,1582.28,1582.28,1575.64,1576.11,3107972
2017-08-21,1583.22,1587.02,1577.04,1586.08,1638192
2017-08-22,1588.44,1588.93,1580.85,1581.31,1625343
2017-08-23,1590.36,1590.36,1580.85,1582.74,1801126
2017-08-24,1582.74,1582.74,1576.11,1576.11,2263706
2017-08-25,1576.11,1578.01,1566.61,1567.08,3542851
2017-08-28,1575.16,1581.81,1572.31,1578.48,5177252
2017-08-29,1566.97,1568.41,1547.81,1553.1,4606694
2017-08-30,1556.92,1562.67,1552.12,1556.45,2488451
2017-08-31,1555.96,1566.97,1552.62,1554.06,2942890
2017-09-01,1559.32,1563.62,1551.18,1557.4,1750328
2017-09-04,1554.06,1555.49,1533.92,1534.89,2377920
2017-09-05,1542.56,1543.49,1531.05,1535.83,2086722
2017-09-06,1523.39,1536.81,1519.56,1534.4,3490637
2017-09-07,1534.4,1544.94,1529.14,1535.83,1742187
2017-09-08,1532.48,1536.33,1512.85,1517.15,4332299
2017-09-11,1526.26,1535.37,1526.26,1530.08,1795417
2017-09-12,1540.16,1546.37,1536.33,1543.49,1602537
2017-09-13,1552.62,1556.45,1550.22,1553.56,1481986
2017-09-14,1551.18,1553.1,1539.21,1547.34,1654933
2017-09-15,1542.56,1550.22,1539.67,1548.78,2937461
2017-09-19,1557.88,1570.34,1554.06,1569.85,2798542
2017-09-20,1566.5,1568.41,1562.18,1564.11,2695838
2017-09-21,1571.78,1582.78,1566.03,1567.46,2258101
2017-09-22,1571.78,1572.25,1552.12,1552.62,1507767
2017-09-25,1589.03,1602.43,1577.53,1584.71,4088691
2017-09-26,1587.09,1592.86,1584.71,1592.86,2781112
2017-09-27,1592.86,1598.12,1588.53,1597.17,1866390
2017-09-28,1602.43,1602.91,1587.09,1593.82,2081087
2017-09-29,1588.07,1592.86,1575.61,1592.86,2261544
2017-10-02,1594.29,1596.2,1578.48,1584.23,1542314
2017-10-03,1589.49,1598.6,1584.23,1598.6,2100291
2017-10-04,1600.02,1613.46,1596.69,1609.15,2753662
2017-10-05,1612.97,1643.15,1611.06,1642.68,6027100
2017-10-06,1635.0,1635.0,1616.31,1620.64,2793117
2017-10-10,1621.6,1640.29,1617.28,1638.85,3270202
2017-10-11,1632.62,1641.72,1631.66,1641.23,2050816
2017-10-12,1635.48,1642.18,1631.18,1640.76,1959075
2017-10-13,1629.73,1657.52,1629.73,1655.6,4637693
2017-10-16,1657.52,1675.73,1654.64,1674.76,3129925
2017-10-17,1675.25,1676.69,1652.72,1660.87,3496170
2017-10-18,1667.1,1679.57,1667.1,1673.81,3309761
2017-10-19,1675.73,1679.09,1661.35,1662.79,2105300
2017-10-20,1660.41,1673.81,1658.47,1669.98,2193391
2017-10-23,1676.69,1678.59,1658.47,1660.41,2350159
2017-10-24,1657.52,1660.87,1647.94,1658.47,2299120
2017-10-25,1661.85,1661.85,1636.44,1640.29,2372598
2017-10-26,1641.23,1658.96,1639.79,1651.77,2787896
2017-10-27,1660.41,1669.02,1653.68,1669.02,2428333
2017-10-30,1662.32,1665.67,1655.12,1657.52,4748744
2017-10-31,1655.6,1677.65,1650.34,1677.15,3098092
2017-11-01,1681.48,1688.66,1671.41,1675.25,2906881
2017-11-02,1680.52,1683.39,1674.29,1677.65,2199965
2017-11-06,1679.57,1685.31,1661.35,1666.16,2741033
2017-11-07,1660.41,1692.01,1655.12,1692.01,3126585
2017-11-08,1692.01,1695.84,1682.43,1689.63,2053114
2017-11-09,1692.01,1712.13,1668.54,1685.79,3574554
2017-11-10,1669.51,1684.35,1662.32,1673.81,2432194
2017-11-13,1667.59,1670.45,1646.02,1646.51,1905635
2017-11-14,1645.55,1651.77,1635.0,1637.87,1917323
2017-11-15,1629.73,1636.44,1612.97,1633.56,4034418
2017-11-16,1629.25,1660.41,1629.25,1658.96,2479371
2017-11-17,1667.59,1678.13,1647.94,1653.21,2955936
2017-11-20,1647.94,1675.73,1640.76,1671.41,1815457
2017-11-21,1672.85,1675.25,1653.68,1654.64,2112084
2017-11-22,1662.32,1665.67,1640.76,1641.23,2107282
2017-11-24,1646.99,1647.94,1634.54,1643.62,1579680
2017-11-27,1651.31,1652.72,1638.85,1641.72,1336386
2017-11-28,1641.72,1652.25,1639.31,1648.9,1620175
2017-11-29,1660.87,1682.91,1658.02,1676.2,2901872
2017-11-30,1690.09,1748.53,1687.7,1747.58,6918338
2017-12-01,1755.27,1776.82,1738.96,1743.75,3706376
2017-12-04,1743.75,1757.17,1729.85,1749.97,2247560
2017-12-05,1754.77,1799.32,1754.77,1795.49,3967203
2017-12-06,1785.91,1803.16,1772.97,1776.82,3212380
2017-12-07,1786.39,1820.39,1783.99,1806.98,3271558
2017-12-08,1797.88,1824.71,1789.75,1815.61,4581957
2017-12-11,1819.45,1829.52,1812.26,1823.76,1782580
2017-12-12,1823.76,1829.99,1815.12,1818.96,2130662
2017-12-13,1820.39,1857.76,1803.63,1855.37,4775047
2017-12-14,1855.37,1867.82,1843.4,1850.58,2935480
2017-12-15,1847.7,1861.61,1840.52,1850.08,3450035
2017-12-18,1856.81,1861.61,1845.31,1849.63,2076076
2017-12-19,1853.46,1857.76,1847.23,1847.23,1664637
2017-12-20,1847.23,1851.07,1840.52,1844.35,2055826
2017-12-21,1840.52,1848.66,1828.08,1833.81,1912211
2017-12-22,1839.57,1850.08,1829.99,1831.91,1972330
2017-12-25,1831.91,1837.65,1825.67,1829.99,1208529
2017-12-26,1827.11,1840.52,1826.63,1832.84,1255079
2017-12-27,1839.09,1845.79,1830.96,1840.03,1023061
2017-12-28,1838.6,1842.91,1826.15,1829.02,1076290
2017-12-29,1833.81,1835.25,1822.32,1822.8,1157285
2018-01-04,1839.57,1847.7,1833.81,1846.75,2407772
2018-01-05,1850.58,1855.85,1838.6,1853.93,2361117
2018-01-09,1868.31,1877.41,1853.93,1857.76,2461420
2018-01-10,1858.73,1863.05,1850.08,1853.93,2208107
2018-01-11,1849.63,1858.24,1837.65,1858.24,3978579
2018-01-12,1847.7,1849.63,1780.64,1784.48,6977308
2018-01-15,1793.57,1796.44,1786.87,1790.7,2119180
2018-01-16,1793.57,1808.91,1791.18,1801.23,1762645
2018-01-17,1808.91,1813.23,1796.44,1808.91,3235133
2018-01-18,1816.56,1818.48,1788.79,1789.75,3522472
2018-01-19,1789.75,1803.63,1785.91,1796.93,2258832
2018-01-22,1796.93,1800.77,1785.43,1798.84,1501609
2018-01-23,1803.63,1818.96,1801.23,1817.05,2048207
2018-01-24,1815.61,1829.02,1813.7,1825.2,2125653
2018-01-25,1822.32,1832.84,1809.37,1819.45,2823592
2018-01-26,1825.2,1834.28,1814.66,1820.39,3132741
2018-01-29,1820.39,1823.76,1810.81,1813.23,1805333
2018-01-30,1811.79,1818.96,1791.66,1799.32,2446911
2018-01-31,1792.63,1799.8,1779.68,1779.68,3420918
2018-02-01,1792.14,1819.92,1788.31,1816.56,2669642
2018-02-02,1810.81,1837.16,1807.47,1834.28,2837057
2018-02-05,1808.43,1820.88,1798.37,1802.2,3270412
2018-02-06,1758.12,1760.52,1707.82,1732.25,7057465
2018-02-07,1772.5,1802.2,1745.19,1746.14,4680485
2018-02-08,1753.34,1761.96,1738.48,1739.45,3084732
2018-02-09,1701.59,1738.96,1686.27,1738.48,5916570
2018-02-13,1753.34,1760.02,1726.5,1728.9,3227617
2018-02-14,1734.18,1746.14,1724.6,1738.48,2538759
2018-02-15,1752.85,1758.12,1741.36,1743.75,2058018
2018-02-16,1751.9,1774.89,1747.11,1769.14,2244742
2018-02-19,1786.39,1806.04,1779.68,1804.11,2028272
2018-02-20,1804.11,1811.79,1799.32,1803.63,2811694
2018-02-21,1801.23,1804.6,1782.08,1787.34,3588643
2018-02-22,1782.08,1783.51,1757.17,1767.7,4122091
2018-02-23,1770.1,1772.5,1750.46,1752.38,6402946
2018-02-26,1759.63,1769.28,1754.79,1763.96,3404869
2018-02-27,1770.73,1772.67,1757.7,1760.59,2167638
2018-02-28,1756.24,1771.22,1745.13,1745.13,3103636
2018-03-01,1741.27,1743.68,1714.71,1719.05,2576736
2018-03-02,1691.52,1706.97,1677.02,1686.2,3124235
2018-03-05,1680.89,1704.07,1679.45,1701.66,2617108
2018-03-06,1718.57,1723.87,1708.41,1717.12,1944146
2018-03-07,1706.0,1720.02,1701.66,1706.0,2570317
2018-03-08,1721.96,1722.92,1708.91,1715.67,2555824
2018-03-09,1715.67,1736.92,1702.14,1710.36,3815001
2018-03-12,1738.85,1766.37,1738.85,1763.96,3332615
2018-03-13,1763.96,1771.69,1758.65,1771.69,2448789
2018-03-14,1757.21,1760.59,1744.17,1753.35,2917823
2018-03-15,1739.34,1769.76,1736.92,1767.82,2415043
2018-03-16,1768.32,1773.15,1762.04,1769.76,2727870
2018-03-19,1764.93,1772.67,1758.17,1771.22,1961744
2018-03-20,1762.04,1764.93,1747.06,1758.65,2173435
2018-03-22,1720.02,1770.73,1720.02,1769.28,2391027
